id	name	add_name	description	popup
801	Cursed Tome of Nassen		a,	-1
802	Bloodthirsty Dagger		a,	-1
803	Bloody Dagger		a,	-1
804	Staff of Shane		a,	-1
805	Pinter's Bill		a,	-1
806	Drake's Claw		a,	-1
807	Flawless Drake's Claw		a,	-1
808	Pushkin's Letter		a,	-1
809	Bone Fragment		u,Фрагменты костей полученные из скелетов нежити. Соберите десять и отдайте Tetrarch Kaitar.\0	-1
810	Altran's Letter		a,	-1
811	Oil Paper		a,	-1
812	Adamantium Ore		a,	-1
813	Heart Stone		a,	-1
814	Pushkin's Receipt		a,	-1
815	Leather Strap		a,	-1
816	Widow Maker		a,	-1
817	Mithril Bottle		a,	-1
818	Grace Unicorn's Horn		a,	-1
819	Drake's Bone		a,	-1
820	Zahak Fluids		a,	-1
821	Bone Knife		a,	-1
822	Drake Knife		a,	-1
823	Dull Dagger		a,	-1
824	Siriel's Note		a,	-1
825	Raien's Letter		a,	-1
826	Silver Spores		a,	-1
827	Star Dust		a,	-1
828	Song of Awakening		a,	-1
829	Spirit Dagger		a,	-1
830	Medallion of Kwyllinas		a,	-1
831	Echo Crystal		a,	-1
832	Green Echo Crystal		a,	-1
833	Red Echo Crystal		a,	-1
834	Aquamarine Echo Crystal		a,	-1
835	Blue Echo Crystal		a,	-1
836	Book of Kwyllinas		a,	-1
837	Fairy Dust		a,	-1
838	Vellior's Letter		a,	-1
839	Icarus's Letter		a,	-1
840	Drevanul Skull		a,	-1
841	Icarus's Order Form		a,	-1
842	Basilisk Ink		a,	-1
843	Book of Aklantoth		a,	-1
844	Book of Aklantoth P1 ~ P10		a,	-1
937	Directions to Ruins		u,Следуйте на северо-запад из деревни, и прямо на запад когда вы встретите Obelisk of Viktory. В уклоне горы ложный вход в руины.\0	-1
938	Deck		a,	-1
939	Gara's Quest Item #11		a,	-1
940	Gara's Quest Item #12		a,	-1
941	Gara's Proof of Bravery		a,	-1
942	Gara's Proof of Justice		a,	-1
943	Gara's Proof of Despair		a,	-1
944	Deathknight Skull		a,	-1
947	Scroll: Enchant Weapon (Grade B)		u,Используется для оружия класса B. P.Atk мечей, топоров и ножей будет увеличена на 3. P.Atk двуручных мечей и топоров, а также кастетов будет увеличена на 4. P.Atk луков увеличивается на 6. M.Atk всех видов оружия увеличивается на 4. После проточки на +4, P.Atk и M.Atk всех оружий удваивается. Безопасная заточка до +4\0	-1
948	Scroll: Enchant Armor (Grade B)		u,Используется для брони класса B. Увеличивает P.Def брони на 1. После проточки на +3 увеличивает P.Def на 3. Безопасная заточка до +4\0	-1
949	Crystal Scroll: Enchant Weapon (Grade B)		u,Свиток заточки, используется для оружия класса B\0	-1
950	Crystal Scroll: Enchant Armor (Grade B)		u,Свиток заточки, используется для брони класса B Grade armor\0	-1
951	Scroll: Enchant Weapon (Grade C)		u,Используется для оружия класса C. P.Atk мечей, топоров и ножей будет увеличена на 3. P.Atk двуручных мечей и топоров, а также кастетов будет увеличена на 4. P.Atk луков увеличивается на 6. M.Atk всех видов оружия увеличивается на 3. После проточки на +4, P.Atk и M.Atk всех оружий удваивается. Безопасная заточка до +4\0	-1
952	Scroll: Enchant Armor (Grade C)		u,Используется для брони класса C. Увеличивает P.Def брони на 1. После проточки на +3 увеличивает P.Def на 3. Безопасная заточка до +4\0	-1
953	Crystal Scroll: Enchant Weapon (Grade C)		u,Свиток заточки, используется для оружия класса C \0	-1
954	Crystal Scroll: Enchant Armor (Grade C)		u,Свиток заточки, используется для брони класса C \0	-1
955	Scroll: Enchant Weapon (Grade D)		u,Используется для оружия класса D. P.Atk мечей, топоров и ножей будет увеличена на 3. P.Atk двуручных мечей и топоров, а также кастетов будет увеличена на 2. P.Atk луков увеличивается на 4. M.Atk всех видов оружия увеличивается на 2. После проточки на +4, P.Atk и M.Atk всех оружий удваивается. Безопасная заточка до +4\0	-1
956	Scroll: Enchant Armor (Grade D)		u,Используется для брони класса D. Увеличивает P.Def брони на 1. После проточки на +3 увеличивает P.Def на 3. Безопасная заточка до +4\0	-1
957	Crystal Scroll: Enchant Weapon (Grade D)		u,Свиток заточки, используется для оружия класса D \0	-1
958	Crystal Scroll: Enchant Armor (Grade D)		u,Свиток заточки, используется для брони класса D \0	-1
959	Scroll: Enchant Weapon (Grade S)		u,При заточке, P. Atk. оружие класса S такое как одно-ручные мечи и дробящее оружие, кинжалы и копья увеличивается на 3. P. Atk двуручных мечей и дробящего оружия, спаренных мечей, и когтей увеличивается на 5. P. Atk двуручных мечей и дробящего оружия, спаренных мечей, и когтей увеличивается на 6. P. Atk. луков увеличивается на 10. M. Atk. всего оружия увеличивается на 4. От +4, P. Atk. и M. Atk. удваивается. Безопасная заточка до +4\0	-1
960	Scroll: Enchant Armor (Grade S)		u,При заточке, увеличивается P. Def. брони класса S на 1, и от +4, P. Def увеличивается на 3. Можно безопасно точить до +3. Цельная броня может быть безопасно заточена до +4.\0	-1
961	Crystal Scroll: Enchant Weapon (Grade S)		u,Свиток заточки, используется для оружия класса S \0	-1
962	Crystal Scroll: Enchant Armor (Grade S)		u,Свиток заточки, используется для брони класса S \0	-1
963	Orcish Arrowhead		u,Наконечники стрел, которыми пользуются орки лучники Turath на Talking Island. Собкрите их и принесите Master Minia.\0	-1
964	Alberius's Letter		u,Письмо от Alberius. Отдайте это Master Cobendell.\0	-1
965	Evergreen Amulet		u,Амулет с зеленым камнем стихии. Вы должны обладать этим чтобы уничтожить дриаду и получить слезы дриады.\0	-1
966	Dryad's Tears		u,Драгоценность, которая содержит сущность души дриады. Соберите десять и отдайте их Master Cobendell.\0	-1
967	Cobendell Medicine		u,Снадобье Cobendell'а\0	-1
968	Karrod's Letter		u,Письмо написанное Blacksmith Karrod. Передайте это Abyssal Celebrant Cecktinon в храме Shilen.\0	-1
969	Cecktinon's First Voucher 		u,Ознакомительное письмо от Abyssal Celebrant Cecktinon. Возьмите это и найдите Magister Harne в деревне.\0	-1
970	Cecktinon's Second Voucher		u,Ознакомительное письмо от Abyssal Celebrant Cecktinon. Идите в School of Dark Arts, охотьтесь на скелетов, и достаньте 10 костяных фрагментов.\0	-1
971	Soul Catcher		u,Вещь использовалась в течении ритуала изгнания духов чтобы призывать душу мертвого. Отдайте это Abyssal Celebrant Cecktinon.\0	-1
972	Preserving Oil		u,Масло при использовании, предохраняет от гниения трупов. Возьмите это и идите охотиться на зомби в болотах.\0	-1
973	Zombie Head		u,Голова дерева эльфийских зомби, которая была отрезана после их разрушения. Отдайте это abyssal celebrant Cecktinon.\0	-1
974	Steelbender Head		u,Пожалуйста, Я прошу тебя! Не отдавайте меня этому грубому кузнецу!\0	-1
976	1st Mark of Sentinel		u,Марка, которая подтверждает что вы Elven Sentinel. Уничтожте orc Tanuki skullcrusher и доложите Sentinel Kendell.\0	-1
977	2nd Mark of Sentinel		u,Марка, которая подтверждает что вы Elven Sentinel. Уничтожте orc Bhato bloodspear и доложите Sentinel Kendell.\0	-1
978	Skullcrusher Amulet		u,Амулет, который представляет племя Skullcrusher Orc. Отдайте это Sentinel Kendell.\0	-1
979	Bloodspear Amulet		u,Амулет, который представляет племя Bloodspear Orc. Отдайте это Sentinel Kendell.\0	-1
980	0		a,0\0	-1
982	Esrandell's Letter		u,Представление Esrandell'я\0	-1
983	Kendell's Letter		a,Kendell's letter\0	-1
984	1st Onyx Talisman		u,Ожерелье сделанное Onyx. Отдайте это Abyssal Celebrant Kartia.\0	-1
985	2nd Onyx Talisman		u,Ожерелье сделанное Onyx. Верните подленные свитки от blackskull Orcs и принесите их Abyssal Celebrant Kartia.\0	-1
986	Ancient Scroll		u,Древний свиток вызова Kaysha's Revelation. Отдайте это вместе с глиняным планшетом Abyssal Celebrant Kartia.\0	-1
987	Ancient Clay Tablet		u,Древний глиняный планшет гравированный текстом. Отдайте это вместе с древними свитками Abyssal Celebrant Kartia.\0	-1
988	Kartia's Translation		u,Перевод Kaysha's Revelations. Отдайте это Tetrarch Thifiell.\0	-1
1001	Book of Aklantoth - Part 4		a,	-1
1002	Book of Aklantoth - Part 5		a,	-1
1003	Book of Aklantoth - Part 6		a,	-1
1004	Book of Aklantoth - Part 7		a,	-1
1005	Book of Aklantoth - Part 8		a,	-1
1006	Book of Aklantoth - Part 9		a,	-1
1007	Book of Aklantoth - Part 10		a,	-1
1008	Harrys's 1st Receipt		u,Расписка Harrys полученная после заказа средств. Отдайте это и идите к Blacksmith Alltran.\0	-1
1009	Harrys's 2nd Receipt		u,Расписка, которую Harrys получила после выдачи заказа на ее средства. Пойдите и Соберите черепки голема необходимые для создания средства.\0	-1
1010	Golem Shard		u,Черепки скалы, которые упали из тела голема. Соберите пять и отдайте их Blacksmith Alltran.\0	-1
1011	Tool Box		u,Инструментарий, содержащий инструментальные средства, которыми поделился Blacksmith Alltran. Отдайте это Magister Harrys в храме.\0	-1
1012	Delivery List		u,Отдайте тяжелый деревянный ящик Trader Jackson. Bolts of cloth передать Trader Silvia. Отдайте глиняный горшок хранителю склада Rant.\0	-1
1013	Heavy Wood Box		u,Деревянный ящик должен быть доставлен в оружейный магазин к Trader Jackson.\0	-1
1014	Cloth Bundle		u,Деревянный ящик должен быть доставлен в продовольственный магазин к Trader Silvia.\0	-1
1015	Clay Pot		u,Деревянный ящик должен быть доставлен к хранителю склада Rant.\0	-1
1016	Jackson's Receipt		u,Расписка, которую Jackson дал получателю его wooden box. Отдайте это Guard Arnold.\0	-1
1017	Silvia's Receipt		u,Расписка, которую Silvia дала получателю ее bolts of cloth. Отдайте это Guard Arnold.\0	-1
1018	Rant's Receipt		u,Расписка, которую Rant дал получателю его clay pot. Отдайте это Guard Arnold.\0	-1
1019	official Letter		u,Официальное письмо, которое Lord of Gludio отправил к Sir Colin Windawood, вызывая на встречу. Доставьте это к Sir Windawood.\0	-1
1020	Flame Shard		u,Фрагмент стихийного камня огня. Может быть взято из огненного духа Salamander. Отдайте Trader Katerina.\0	-1
1021	Ice Shard		u,Фрагмент стихийного камня воды. Может быть взято из водяного духа Undine. Отдайте Trader Katerina.\0	-1
1022	Lilith's Letter		u,Письмо написанное Rylith в стремлении к ее любовнику, ушедшему тысячу лет назад. Разузнайте о ее любовнике для нее.\0	-1
1023	Theon's Diary		u,Дневник написсаный Theon в стремлении к его любовнице, ушедшей тысячу лет назад. Передайте это Rylith.\0	-1
1024	Adamantite Ore		u,Адамантитовая руда. Все взято из Gracia. Соберите 20 и отдайте их Warehouse Keeper Wilford.\0	-1
1025	Clay Tablet		u,Планшет восхваляющий Beleth, которым одержим Devil Nerkas. Доставьте это High Priest Biotin.\0	-1
1026	Silvery Spidersilk		u,Паутина silver spider'а. Отнесите это в оружейный магазин к Trader Unoren.\0	-1
1027	Unoren's Receipt		u,Расписка данная магическим магазином. Возьмите это и идите к Trader Creamees.\0	-1
1028	Creamees's Ticket		u,Билет данный складом. Возьмите это и идите к Warehouse Keeper Julia.\0	-1
1029	Nightshade Leaf		u,Лист паслена. Отдайте это Nerupa.\0	-1
1030	Cracked Skull		u,Треснувший череп Dark Horror. Отдайте это Magister Vlasty.\0	-1
1031	Perfect Skull		u,Череп Dark Horror. Отдайте это Magister Vlasty.\0	-1
1032	Fox Fur		u,Грива Keltirs. Мягкая и роскошная, и используется чтобы вращать нить и пряжу. Отдайте это Cristel.\0	-1
1033	Fox Fur Yarn		u,Пряжа скрученная из меха Keltirs. Передайте это прежнему портному Warehouse Keeper Rolfe, и он сделает из этого волосы куклы.\0	-1
1034	Maiden Doll		u,Кукла, имеющая сходство с человеческой девицей. Отдайте это Lighthouse Keeper Rockswell.\0	-1
1035	Plague Dust		u,Порошок полученный из зомби. Отдайте это Hierarch Asterios.\0	-1
1036	Andellia's Letter		u,Письмо от Andellia просящей свою сестру Thalia отправиться ее за плодом Mother Tree.\0	-1
1037	Fruit of The Mother Tree		u,Плод, который Mother Tree приносит каждые несколько месяцев. отдайте это Andellia.\0	-1
1038	Rumiel's 1st Poem		u,Свиток содержит первую поэму Rumiel Moonshine. Соберите все четыре и отдайте их Sentinel Starden.\0	-1
1039	Rumiel's 2nd Poem		u,Свиток содержит вторую поэму Rumiel Moonshine. Соберите все четыре и отдайте их Sentinel Starden.\0	-1
1040	Rumiel's 3rd Poem		u,Свиток содержит третью поэму Rumiel Moonshine. Соберите все четыре и отдайте их Sentinel Starden.\0	-1
1041	Rumiel's 4th Poem		u,Свиток содержит четвертую поэму Rumiel Moonshine. Соберите все четыре и отдайте их Sentinel Starden.\0	-1
1042	Wererat's Fang		u,Клык мертвого ratman. Соберите их чтобы отнести к Master Ellenia.\0	-1
1043	Varool Foulclaw's Fang		u,Клык Varool Foulclaw, лидера ratmen. Отдайте это Master Ellenia.\0	-1
1044	Kirunak Skull		u,Череп Kirunak'а полученный после убийства Kirunak, лидера drevanuls. Отдайте это Trader Creamees.\0	-1
1045	Zombie's Skin		u,Кожа полученная из зомби в болотистой местности. Соберите пять и идите к Trader Minaless.\0	-1
1046	Nightmare Crystal		u,Кристал использовался succubus Merkenis, чтобы наводить кошмары. Отдайте это Tetrarch Vellior.\0	-1
1047	Spellbook: Light		u,Книга заклинаний для Light magic. \0	-1
1048	Spellbook: Might		u,Книга заклинаний для Light magic. Используется Human Wizards, Elven Wizards и Dark Wizards.\0	-1
1049	Spellbook: Ice Bolt		u,Книга заклинаний для Light magic. Используется Human Wizards, Elven Wizards и Dark Wizards.\0	-1
1050	Spellbook: Battle Heal		u,Книга заклинаний для Battle Heal magic. Используется Human Wizards, Elven Wizards и Dark Wizards.\0	-1
1051	Spellbook: Vampiric Touch		u,Книга заклинаний для Vampiric Touch magic. Используется Human Wizards и Dark Wizards.\0	-1
1052	Spellbook: Flame Strike		u,Книга заклинаний для Flame Strike magic. Используется Human Wizards, Elven Wizards и Dark Wizards.\0	-1
1053	Spellbook: Cure Poison 		u,Книга заклинаний для Cure Poison magic. Используется Human Wizards, Elven Wizards и Dark Wizards.\0	-1
1054	Spellbook: Group Heal 		u,Книга заклинаний для Group Heal magic. Используется Human Wizards, Elven Wizards и Dark Wizards.\0	-1
1055	Spellbook: Curse: Poison		u,Книга заклинаний для Curse Poison magic. Используется Human Wizards и Dark Wizards.\0	-1
1056	Spellbook: Curse: Weakness		u,Книга заклинаний для Curse Weakness magic. Human Mystics и Elven Mystics.\0	-1
1057	Spellbook: Summon Meal		u,Книга заклинаний для Summon Meal magic. Используется Human Mystics и Elven Mystics.\0	-1
1058	Spellbook: Shield		u,Книга заклинаний для Shield magic. Используется Human Wizards, Elven Wizards и Dark Wizards.\0	-1
1059	Spellbook: Know Enemy		u,Книга заклинаний для Know Enemy magic.\0	-1
1060	Lesser Healing Potion		u,Магическое зелье, восстанавливающее ваши жизни. Слабое действие.\0	-1
1061	Healing Potion		u,Магическое зелье, восстанавливающее ваши жизни. Сильное действие.\0	-1
1062	Haste Potion		u,Магическое зелье, увеличивающее скорость.\0	-1
1063	Tutorial Parchment		u,Отдайте пергамент консультации Grand Master Roien\0	-1
1064	Tutorial Parchment		u,Отдайте пергамент консультации Grand Master Roien \0	-1
1065	Tutorial Parchment		u,Отдайте пергамент консультации Nerupa\0	-1
1066	Tutorial Parchment		u,Отдайте пергамент консультации Mitraell, главному в Dark Elves\0	-1
1067	Recommendation		u,Отдайте рекомендацию Grand Master Roien\0	-1
1068	Recommendation		u,Отдайте рекомендацию Grand Magister Gallint\0	-1
1069	Leaf of the Mother Tree		u,Отдайте Nerupa лист Mother Tree.\0	-1
1070	Blood of Mitraell		u,Отдайте Hierarch Mitraell кровь Mitraell'я.\0	-1
1071	Hyacinth Charm		u,Charm данный Hierarch Asterios. Идите к водному источнику, чтобы найти тех кто загрязняют воды эльфийской деревни.\0	-1
1072	Hyacinth Charm		u,Charm данный Hierarch Asterios. Идите к водному источнику, и получите пять масс пыли из зомби.\0	-1
1073	Beginner's Potion		u,Зелье, которое медленно восстанавливает HP. Низкая продолжительность.\0	-1
1074	Boat Ticket: Talking Island to Gludin		u,Билет на судно: Уехать из Talking Island - прибыть в Gludin Harbor\0	-1
1075	Boat Ticket: Gludin to Talking Island		u,Билет на судно: Уехать из Gludin Harbor - прибыть в Talking Island\0	-1
1076	Collette's Letter		u,Первый финансовый итог гильдии Iron Gate за пол года: отчет о балансе и прибылях и убытках гильдии Dark Elven Village.\0	-1
1077	Venom Sac		u,Мешочек яда ядовитого паука. Соберите десять из них и отдайте Astaron.\0	-1
1078	Wind Shard		u,Фрагмент камня ветра стихий. вы можете получить их из Lirein, духов ветра. Соберите их, чтобы отдать Rizraell.\0	-1
1079	Darin's Receipt		u,Расписка для магического зелья Darin полученная после оплаты Baulro. Это должно быть передано Baulro.\0	-1
1080	Baulro's Potion		u,Зелье смелости, которое Baulro создал для робкого Darin. Но эффекты неизвестны. Это должно быть доставлено к Darin.\0	-1
1081	Omen Beast's Eye 		u,Первый из трех материалов, которые попросил вас собрать Tetrarch Talloth.\0	-1
1082	Taint Stone		u,Второй из трех материалов, которые попросил вас собрать Tetrarch Talloth.\0	-1
1083	Succubus Blood		u,Третий из трех материалов, которые попросил вас собрать Tetrarch Talloth.\0	-1
1084	Gludio Lord's Mark		u,Марка показывающая, что ее предъявитель исполняет законы лорда. Держите это у себя и охотьтесь на орков или оборотней.\0	-1
1085	Orc's Necklace		u,Костяное ожерелье, которое орки войны носят на себе для магических целей. Отдайте это Captain Gilbert.\0	-1
1086	Werewolf's Fang		u,Клыки из мертвого оборотня. Отдайте это Captain Gilbert.\0	-1
1087	Giant Spider Leg		u,Лапы отрезанные у огромного паука. Соберите восемь и отдайте их Alshupes.\0	-1
1088	Undrias's Letter		u,Письпо от Abyssal Celebrant Undrias'а. Отнесите это письмо к Trader Iria, Warehouse Keeper Dorankus, и Master Trudy.\0	-1
1089	Ceremonial Dagger		u,Церемониальный кинжал использоваемое в течение mass of darkness. Отдайте это Abyssal Celebrant Undrias.\0	-1
1090	Dreviant Wine		u,Священное вино использоваемое в mass of darkness. Отдайте это Abyssal Celebrant Undrias.\0	-1
1091	Garmiel's Scripture		u,Священное писание использоваемое в течение mass of darkness. Отдайте это Abyssal Celebrant Undrias.\0	-1
1092	Arujien's Letter		u,Письмо, которое Arujien написал Greenis. Покажите это Gatekeeper Mirabel.\0	-1
1093	Arujien's Letter		u,Письмо, которое Arujien написал Greenis. Покажите это Trader Herbiel.\0	-1
1094	Arujien's Letter		u,Любовное письмо Arujien'а. Поскольку вы показали это Mirabel и Herbiel, вы должны вернуться к Arujien.\0	-1
1095	Spellbook: Aura Attack		u,Книга заклинаний для Aura Attack magic. Используется Elven Fighters и Dark Fighters.\0	-1
1096	Spellbook: Elemental Heal		u,Книга заклинаний для Elemental Heal magic. Используется Elven Fighters.\0	-1
1097	Spellbook: Drain Health		u,Книга заклинаний для Drain Health magic. Используется Human Knights и Dark Fighters.\0	-1
1098	Spellbook: Wind Walk		u,Книга заклинаний для Wind Walk magic. Используется Clerics, Elven Oracles и Shillien Oracles.\0	-1
1099	Spellbook: Wind Shackle		u,Книга заклинаний для Wind Shackle magic. Используется Elven Mystics и Dark Mystics.\0	-1
1106	Norman's Letter		u,Первый итоговый финансовый отчет гильдии Iron Gate за пол года: балансовый отчет и отчет о прибылях и убытках гильдии региона Gludio.\0	-1
1107	Bone Fragment		u,Костные фрагменты скелетов нежити. Соберите десять и вернитесь к Magister Harne.\0	-1
1108	Arbon's Letter		a,	-1
1109	Roien's Letter		a,	-1
1110	Bone Fragment		a,	-1
1111	Adamantite Ore		a,	-1
1112	Leaf of the Mother Tree		a,	-1
1113	Blood of Mitraell		a,	-1
1114	Orc Amulet		u,Амулет, которым обладали Kaboo Orcs для магических целей. Отдайте это Sentinel Rayen.\0	-1
1115	Orc's Necklace		u,Костяной амулет, которым обладал Kaboo Orc для магических целей. Отдайте это Sentinel Rayen.\0	-1
1116	Orc Amulet		u,Костяной амулет, которым обладали balor Orcs для магических целей. Отдайте это Sentry Kayleen.\0	-1
1117	Orc's Necklace		u,Костяной амулет, который balor Orc fighters носили для магических целей. Отдайте это Sentry Kayleen.\0	-1
1118	Spore Sac		u,Мешочек, содержащий пыльцу споры. Дайте 10 мешочков споры Herbiel.\0	-1
1130	Cobendell's Medicine		u,Снадобье сделанное Master Cobendell.\0	-1
1131	Cobendell's Medicine		u,Снадобье сделанное Master Cobendell.\0	-1
1132	Cobendell's Medicine		u,Снадобье сделанное Master Cobendell.\0	-1
1133	Cobendell's Medicine		u,Снадобье сделанное Master Cobendell.\0	-1
1134	Cobendell's Medicine		u,Снадобье сделанное Master Cobendell.\0	-1
1135	Spiritbound Wand		u,Палочка, в которую заключен дух зеркал. Соберите все три духа зеркал в палочке и отдайте это Grand Magister Gallint.\0	-1
1136	Spiritbound Wand		u,Палочка, в которую заключен дух зеркал. Соберите все три духа зеркал в палочке и отдайте это Grand Magister Gallint.\0	-1
1137	Spiritbound Wand		u,Палочка, в которую заключен дух зеркал. Соберите все три духа зеркал в палочке и отдайте это Grand Magister Gallint.\0	-1
1138	Auron's Letter		u,Письмо написанное Master Auron. Отдайте это Trader Simplon в городе Gludio.\0	-1
1139	Warrior Guild Mark		u,Отметка, которая показывает, что игрок является членом Warrior Guild. Отнесите это в Ruins of Despair и убивайте tracker skeletons.\0	-1
