id	name	description	rgb[0]	rgb[1]	rgb[2]	reserved1
29	a,Ruin Zombie Leader\0	a,Lvl: 16\0	9C	E8	A9	-1
30	a,Langk Lizardman\0	a,Lvl: 15\0	9C	E8	A9	-1
31	a,Omen Beast\0	a,Lvl: 17\0	9C	E8	A9	-1
32	a,Pinrul\0	a,Lvl: 17\0	9C	E8	A9	-1
33	a,Shade Horror\0	a,Lvl: 17\0	9C	E8	A9	-1
34	a,Prowler\0	a,Lvl: 17*\0	79	79	FF	-1
35	a,Tracker Skeleton\0	a,Lvl: 17\0	9C	E8	A9	-1
36	a,Lirein\0	a,Lvl: 18*\0	79	79	FF	-1
37	a,Mana Seeker\0	a,Lvl: 18 [x2]\0	9C	E8	A9	-1
38	a,Poison Spider\0	a,Lvl: 18\0	9C	E8	A9	-1
39	a,Scavenger Wererat\0	a,Lvl: 18\0	9C	E8	A9	-1
40	a,Sukar Wererat\0	a,Lvl: 18\0	9C	E8	A9	-1
41	a,Tainted Zombie\0	a,Lvl: 18\0	9C	E8	A9	-1
42	a,Tracker Skeleton Leader\0	a,Lvl: 18*\0	79	79	FF	-1
43	a,Arachnid Tracker\0	a,Lvl: 19*\0	79	79	FF	-1
44	a,Lirein Elder\0	a,Lvl: 19*\0	79	79	FF	-1
45	a,Skeleton Scout\0	a,Lvl: 19 >>---->\0	9C	E8	A9	-1
46	a,Stink Zombie\0	a,Lvl: 19\0	9C	E8	A9	-1
47	a,Sukar Wererat Leader\0	a,Lvl: 19*\0	79	79	FF	-1
48	a,Lesser Succubus\0	a,Lvl: 20*\0	79	79	FF	-1
49	a,Lycanthrope\0	a,Lvl: 20*\0	79	79	FF	-1
50	a,Arachnid Predator\0	a,Lvl: 20*\0	79	79	FF	-1
51	a,Skeleton Bowman\0	a,Lvl: 20 >>---->\0	9C	E8	A9	-1
52	a,Lesser Succubus Turen\0	a,Lvl: 21*\0	79	79	FF	-1
53	a,Ol Mahum Patrol\0	a,Lvl: 21 >>---->\0	9C	E8	A9	-1
54	a,Ruin Spartoi\0	a,Lvl: 21\0	9C	E8	A9	-1
55	a,Wandering Eye\0	a,Lvl: 21\0	9C	E8	A9	-1
56	a,Dre Vanul Disposer\0	a,Lvl: 22*\0	79	79	FF	-1
57	a,Lesser Succubus Tilfo\0	a,Lvl: 22*\0	79	79	FF	-1
58	a,Ol Mahum Guard\0	a,Lvl: 22\0	9C	E8	A9	-1
59	a,Hungry Eye\0	a,Lvl: 22\0	9C	E8	A9	-1
60	a,Raging Spartoi\0	a,Lvl: 22*\0	79	79	FF	-1
61	a,Ol Mahum Straggler\0	a,Lvl: 23*\0	79	79	FF	-1
62	a,Tumran Bugbear\0	a,Lvl: 23\0	9C	E8	A9	-1
63	a,Ol Mahum Shooter\0	a,Lvl: 24 >>---->\0	9C	E8	A9	-1
64	a,Tumran Bugbear Warrior\0	a,Lvl: 24*\0	79	79	FF	-1
65	a,Ol Mahum Patrolman\0	a,Lvl: 25\0	9C	E8	A9	-1
66	a,Ol Mahum Captain\0	a,Lvl: 25*\0	79	79	FF	-1
67	a,Monster Eye Watcher\0	a,Lvl: 25\0	9C	E8	A9	-1
68	a,Monster Eye Destroyer\0	a,Lvl: 26*\0	79	79	FF	-1
69	a,Selu Lizardman Scout\0	a,Lvl: 26\0	9C	E8	A9	-1
70	a,Lesser Basilisk\0	a,Lvl: 27*\0	79	79	FF	-1
71	a,Selu Lizardman Warrior\0	a,Lvl: 27*\0	79	79	FF	-1
72	a,Basilisk\0	a,Lvl: 28*\0	79	79	FF	-1
73	a,Ol Mahum Legionnaire\0	a,Lvl: 28\0	9C	E8	A9	-1
74	a,Androscorpio\0	a,Lvl: 29\0	9C	E8	A9	-1
75	a,Ant Larva\0	a,Lvl: 29\0	9C	E8	A9	-1
76	a,Ol Mahum Commander\0	a,Lvl: 29*\0	79	79	FF	-1
77	a,Androscorpio Hunter\0	a,Lvl: 30\0	9C	E8	A9	-1
78	a,Whispering Wind\0	a,Lvl: 30\0	9C	E8	A9	-1
79	a,Ant\0	a,Lvl: 30\0	9C	E8	A9	-1
80	a,Ant Captain\0	a,Lvl: 31*\0	79	79	FF	-1
81	a,Ant Overseer\0	a,Lvl: 32 [x2]\0	9C	E8	A9	-1
82	a,Ant Recruit\0	a,Lvl: 33\0	9C	E8	A9	-1
83	a,Granite Golem\0	a,Lvl: 33\0	9C	E8	A9	-1
84	a,Ant Patrol\0	a,Lvl: 34\0	9C	E8	A9	-1
85	a,Puncher\0	a,Lvl: 34*\0	79	79	FF	-1
86	a,Ant Guard\0	a,Lvl: 35\0	9C	E8	A9	-1
87	a,Ant Soldier\0	a,Lvl: 35* [x2]\0	79	79	FF	-1
88	a,Ant Warrior Captain\0	a,Lvl: 36* [x2]\0	79	79	FF	-1
89	a,Noble Ant\0	a,Lvl: 37\0	9C	E8	A9	-1
90	a,Noble Ant Leader\0	a,Lvl: 38* [x2]\0	79	79	FF	-1
91	a,Young Fox\0	a,Lvl: 1\0	9C	E8	A9	-1
92	a,Monster Eye\0	a,Lvl: 10\0	9C	E8	A9	-1
93	a,Orc Fighter\0	a,Lvl: 10*\0	79	79	FF	-1
94	a,Orc Marksman\0	a,Lvl: 10 >>---->\0	9C	E8	A9	-1
95	a,Vampire Bat\0	a,Lvl: 10\0	9C	E8	A9	-1
96	a,Orc Lieutenant\0	a,Lvl: 11\0	9C	E8	A9	-1
97	a,Drill Bat\0	a,Lvl: 11\0	9C	E8	A9	-1
98	a,Orc Fighter Leader\0	a,Lvl: 12*\0	79	79	FF	-1
99	a,Skeleton\0	a,Lvl: 12*\0	79	79	FF	-1
100	a,Skeleton Archer\0	a,Lvl: 13* >>---->\0	79	79	FF	-1
101	a,Crasher\0	a,Lvl: 14\0	9C	E8	A9	-1
102	a,Skeleton Marksman\0	a,Lvl: 14 >>---->\0	9C	E8	A9	-1
103	a,Giant Spider\0	a,Lvl: 15*\0	79	79	FF	-1
104	a,Skeleton Lord\0	a,Lvl: 15\0	9C	E8	A9	-1
105	a,Dark Horror\0	a,Lvl: 16*\0	79	79	FF	-1
106	a,Talon Spider\0	a,Lvl: 16\0	9C	E8	A9	-1
107	a,Wererat\0	a,Lvl: 16\0	9C	E8	A9	-1
108	a,Blade Spider\0	a,Lvl: 17*\0	79	79	FF	-1
109	a,Salamander\0	a,Lvl: 17 [x2]\0	9C	E8	A9	-1
110	a,Undine\0	a,Lvl: 17* [x2]\0	79	79	FF	-1
111	a,Wererat Leader\0	a,Lvl: 17* [x2]\0	79	79	FF	-1
112	a,Salamander Elder\0	a,Lvl: 18 [x2]\0	9C	E8	A9	-1
113	a,Undine Elder\0	a,Lvl: 18* [x2]\0	79	79	FF	-1
114	a,Salamander Noble\0	a,Lvl: 19 [x2]\0	9C	E8	A9	-1
115	a,Undine Noble\0	a,Lvl: 19* [x2]\0	79	79	FF	-1
116	a,Fox\0	a,Lvl: 2\0	9C	E8	A9	-1
117	a,Dre Vanul\0	a,Lvl: 20*\0	79	79	FF	-1
118	a,Dre Vanul Scout\0	a,Lvl: 21*\0	79	79	FF	-1
119	a,Elder Fox\0	a,Lvl: 3\0	9C	E8	A9	-1
120	a,Wolf\0	a,Lvl: 4\0	9C	E8	A9	-1
121	a,Giant Toad\0	a,Lvl: 5\0	9C	E8	A9	-1
122	a,Arachne\0	a,Lvl: 50\0	9C	E8	A9	-1
123	a,Bloody Pixy\0	a,Lvl: 50\0	9C	E8	A9	-1
124	a,Dark Pan\0	a,Lvl: 50\0	9C	E8	A9	-1
125	a,Pan\0	a,Lvl: 50\0	9C	E8	A9	-1
126	a,Pixy\0	a,Lvl: 50\0	9C	E8	A9	-1
127	a,Red Arachne\0	a,Lvl: 50\0	9C	E8	A9	-1
128	a,Blight Treant\0	a,Lvl: 50\0	9C	E8	A9	-1
129	a,Treant\0	a,Lvl: 50\0	9C	E8	A9	-1
130	a,Orc\0	a,Lvl: 6\0	9C	E8	A9	-1
131	a,Orc Grunt\0	a,Lvl: 7\0	9C	E8	A9	-1
132	a,Werewolf\0	a,Lvl: 9\0	9C	E8	A9	-1
133	a,Bugbear\0	a,Lvl: 21*\0	79	79	FF	-1
134	a,Cave Maiden\0	a,Lvl: 59*\0	79	79	FF	-1
135	a,Alligator\0	a,Lvl: 40*\0	79	79	FF	-1
136	a,Death Knight\0	a,Lvl: 50* [x2]\0	79	79	FF	-1
137	a,Drake\0	a,Lvl: 57*\0	79	79	FF	-1
138	a,Gargoyle\0	a,Lvl: 27*\0	79	79	FF	-1
139	a,Giant Bee\0	a,Lvl: 16\0	9C	E8	A9	-1
140	a,Giant Leech\0	a,Lvl: 24*\0	79	79	FF	-1
141	a,Giant Wild Hog\0	a,Lvl: 47*\0	79	79	FF	-1
142	a,Griffon\0	a,Lvl: 20\0	9C	E8	A9	-1
143	a,Grizzly\0	a,Lvl: 12*\0	79	79	FF	-1
144	a,Hangman Tree\0	a,Lvl: 35*\0	79	79	FF	-1
145	a,Harpy\0	a,Lvl: 32*\0	79	79	FF	-1
146	a,Headless Knight\0	a,Lvl: 50*\0	79	79	FF	-1
147	a,Hobgoblin\0	a,Lvl: 21\0	9C	E8	A9	-1
148	a,Hungry Spirit\0	a,Lvl: 40*\0	79	79	FF	-1
149	a,Iron Golem\0	a,Lvl: 38*\0	79	79	FF	-1
150	a,King Bugbear\0	a,Lvl: 32*\0	79	79	FF	-1
151	a,Kobold\0	a,Lvl: 4\0	9C	E8	A9	-1
152	a,Lizardman\0	a,Lvl: 19\0	9C	E8	A9	-1
153	a,Magical Weaver\0	a,Lvl: 11\0	9C	E8	A9	-1
154	a,Mandragora Sprout\0	a,Lvl: 21\0	9C	E8	A9	-1
155	a,Mandragora Sapling\0	a,Lvl: 23*\0	79	79	FF	-1
156	a,Mandragora Blossom\0	a,Lvl: 25*\0	79	79	FF	-1
157	a,Marsh Stakato\0	a,Lvl: 29*\0	79	79	FF	-1
158	a,Medusa\0	a,Lvl: 34*\0	79	79	FF	-1
159	a,Minotaur\0	a,Lvl: 43*\0	79	79	FF	-1
160	a,Neer Crawler\0	a,Lvl: 28*\0	79	79	FF	-1
161	a,Oel Mahum\0	a,Lvl: 53*\0	79	79	FF	-1
162	a,Ogre\0	a,Lvl: 41*\0	79	79	FF	-1
163	a,Ol Mahum\0	a,Lvl: 23\0	9C	E8	A9	-1
164	a,Ol Mahum Archer\0	a,Lvl: 25* >>---->\0	79	79	FF	-1
165	a,Ol Mahum Champion\0	a,Lvl: 29*\0	79	79	FF	-1
166	a,Succubus\0	a,Lvl: 32*\0	79	79	FF	-1
167	a,Serpent Slave\0	a,Lvl: 40*\0	79	79	FF	-1
168	a,Silenos\0	a,Lvl: 30\0	9C	E8	A9	-1
169	a,Skeleton Royal Guard\0	a,Lvl: 26*\0	79	79	FF	-1
170	a,Spartoi\0	a,Lvl: 15*\0	79	79	FF	-1
171	a,Specter\0	a,Lvl: 26*\0	79	79	FF	-1
172	a,Sylph\0	a,Lvl: 10\0	9C	E8	A9	-1
173	a,Troll\0	a,Lvl: 33*\0	79	79	FF	-1
174	a,Two-Headed Giant\0	a,Lvl: 35*\0	79	79	FF	-1
175	a,Walking Fungus\0	a,Lvl: 8\0	9C	E8	A9	-1
176	a,Wyrm\0	a,Lvl: 35*\0	79	79	FF	-1
177	a,Zombie\0	a,Lvl: 6\0	9C	E8	A9	-1
178	a,Skeleton Knight\0	a,Lvl: 1\0	9C	E8	A9	-1
179	a,Lichking Nassen\0	a,Lvl: 1\0	9C	E8	A9	-1
180	a,Greater Stone Golem\0	a,Lvl: 1\0	9C	E8	A9	-1
181	a,Grace Unicorn\0	a,Lvl: 1\0	9C	E8	A9	-1
182	a,Grace Dryad\0	a,Lvl: 1\0	9C	E8	A9	-1
183	a,Hellfire Salamander\0	a,Lvl: 1\0	9C	E8	A9	-1
184	a,Clearwind Sylph\0	a,Lvl: 1\0	9C	E8	A9	-1
185	a,Maelstrom Undine\0	a,Lvl: 1\0	9C	E8	A9	-1
186	a,Greater Dre Vanul\0	a,Lvl: 1\0	9C	E8	A9	-1
187	a,Voiceless Knight\0	a,Lvl: 1\0	9C	E8	A9	-1
188	a,Sting Spider\0	a,Lvl: 1\0	9C	E8	A9	-1
189	a,Puma\0	a,Lvl: 15\0	9C	E8	A9	-1
190	a,Skeleton Marauder\0	a,Lvl: 29* >>---->\0	79	79	FF	-1
191	a,Skeleton Raider\0	a,Lvl: 30*\0	79	79	FF	-1
192	a,Tyrant\0	a,Lvl: 35\0	9C	E8	A9	-1
193	a,Tyrant Kingpin\0	a,Lvl: 36*\0	79	79	FF	-1
194	a,Queen Undine\0	a,Lvl: 50*\0	79	79	FF	-1
195	a,Pixy Murika\0	a,Lvl: 50\0	9C	E8	A9	-1
196	a,Treant Bremec\0	a,Lvl: 50\0	9C	E8	A9	-1
197	a,Sorrow Maiden\0	a,Lvl: 27\0	9C	E8	A9	-1
198	a,Neer Ghoul Berserker\0	a,Lvl: 29*\0	79	79	FF	-1
199	a,Amber Basilisk\0	a,Lvl: 30\0	9C	E8	A9	-1
200	a,Strain\0	a,Lvl: 31\0	9C	E8	A9	-1
201	a,Ghoul\0	a,Lvl: 32\0	9C	E8	A9	-1
202	a,Dead Seeker\0	a,Lvl: 34\0	9C	E8	A9	-1
203	a,Dion Grizzly\0	a,Lvl: 20\0	9C	E8	A9	-1
204	a,Bloody Bee\0	a,Lvl: 23\0	9C	E8	A9	-1
205	a,Dire Wolf\0	a,Lvl: 24*\0	79	79	FF	-1
206	a,Kadif Werewolf\0	a,Lvl: 25\0	9C	E8	A9	-1
207	a,Ol Mahum Guerilla\0	a,Lvl: 26 [x2]\0	9C	E8	A9	-1
208	a,Ol Mahum Raider\0	a,Lvl: 27 [x2]\0	9C	E8	A9	-1
209	a,Ol Mahum Marksman\0	a,Lvl: 28 [x2] >>---->\0	9C	E8	A9	-1
210	a,Ol Mahum Sergeant\0	a,Lvl: 29 [x2]\0	9C	E8	A9	-1
211	a,Ol Mahum Captain\0	a,Lvl: 30* [x2]\0	79	79	FF	-1
212	a,Bloody Axe Turmak\0	a,Lvl: 34* [x2]\0	79	79	FF	-1
213	a,Porta\0	a,Lvl: 40 [x2]\0	9C	E8	A9	-1
214	a,Excuro\0	a,Lvl: 41 [x2]\0	9C	E8	A9	-1
215	a,Mordeo\0	a,Lvl: 42* [x2]\0	79	79	FF	-1
216	a,Ricenseo\0	a,Lvl: 43 [x2]\0	9C	E8	A9	-1
217	a,Krator\0	a,Lvl: 44* [x2]\0	79	79	FF	-1
218	a,Premo\0	a,Lvl: 45 [x2]\0	9C	E8	A9	-1
219	a,Validus\0	a,Lvl: 46 [x2]\0	9C	E8	A9	-1
220	a,Dicor\0	a,Lvl: 47* [x2]\0	79	79	FF	-1
221	a,Perum\0	a,Lvl: 48* [x2]\0	79	79	FF	-1
222	a,Torfe\0	a,Lvl: 49 [x2]\0	9C	E8	A9	-1
223	a,Mandragora Sprout\0	a,Lvl: 20\0	9C	E8	A9	-1
224	a,Ol Mahum Ranger\0	a,Lvl: 22 >>---->\0	9C	E8	A9	-1
225	a,Giant Mist Leech\0	a,Lvl: 25\0	9C	E8	A9	-1
226	a,Gray Ant\0	a,Lvl: 26\0	9C	E8	A9	-1
227	a,Horror Mist Ripper\0	a,Lvl: 27*\0	79	79	FF	-1
228	a,Giant Crimson Ant\0	a,Lvl: 28\0	9C	E8	A9	-1
229	a,Stinger Wasp\0	a,Lvl: 30*\0	79	79	FF	-1
230	a,Marsh Stakato Worker\0	a,Lvl: 31\0	9C	E8	A9	-1
231	a,Toad Lord\0	a,Lvl: 32\0	9C	E8	A9	-1
232	a,Marsh Stakato Soldier\0	a,Lvl: 33\0	9C	E8	A9	-1
233	a,Marsh Spider\0	a,Lvl: 34*\0	79	79	FF	-1
234	a,Marsh Stakato Drone\0	a,Lvl: 35*\0	79	79	FF	-1
235	a,Shackle\0	a,Lvl: 45*\0	79	79	FF	-1
236	a,Cave Servant\0	a,Lvl: 46\0	9C	E8	A9	-1
237	a,Cave Servant Archer\0	a,Lvl: 47 >>---->\0	9C	E8	A9	-1
238	a,Cave Servant Warrior\0	a,Lvl: 48\0	9C	E8	A9	-1
239	a,Cave Servant Captain\0	a,Lvl: 49*\0	79	79	FF	-1
240	a,Royal Cave Servant\0	a,Lvl: 51\0	9C	E8	A9	-1
241	a,Hunter Gargoyle\0	a,Lvl: 52\0	9C	E8	A9	-1
242	a,Dustwind Gargoyle\0	a,Lvl: 53\0	9C	E8	A9	-1
243	a,Thunder Wyrm\0	a,Lvl: 54*\0	79	79	FF	-1
244	a,Malruk Succubus\0	a,Lvl: 55\0	9C	E8	A9	-1
245	a,Malruk Succubus Turen\0	a,Lvl: 56\0	9C	E8	A9	-1
246	a,Cave Keeper\0	a,Lvl: 58\0	9C	E8	A9	-1
247	a,Bloody Queen\0	a,Lvl: 60\0	9C	E8	A9	-1
248	a,Turak Bugbear\0	a,Lvl: 31\0	9C	E8	A9	-1
249	a,Turak Bugbear Warrior\0	a,Lvl: 33* [x2]\0	79	79	FF	-1
250	a,Glass Jaguar\0	a,Lvl: 27\0	9C	E8	A9	-1
251	a,Delu Lizardman\0	a,Lvl: 28\0	9C	E8	A9	-1
252	a,Delu Lizardman Scout\0	a,Lvl: 29\0	9C	E8	A9	-1
253	a,Delu Lizardman Warrior\0	a,Lvl: 30*\0	79	79	FF	-1
254	a,Skeleton Axeman\0	a,Lvl: 28*\0	79	79	FF	-1
255	a,Batur Orc\0	a,Lvl: 31\0	9C	E8	A9	-1
256	a,Batur Orc Archer\0	a,Lvl: 32 >>---->\0	9C	E8	A9	-1
257	a,Batur Orc Warrior\0	a,Lvl: 33*\0	79	79	FF	-1
258	a,Batur Orc Shaman\0	a,Lvl: 34\0	9C	E8	A9	-1
259	a,Batur Orc Overlord\0	a,Lvl: 35*\0	79	79	FF	-1
260	a,Orc Champion\0	a,Lvl: 14*\0	79	79	FF	-1
261	a,Orc Shaman\0	a,Lvl: 17\0	9C	E8	A9	-1
262	a,Out of Use\0	a,Lvl: 15\0	9C	E8	A9	-1
263	a,Ol Mahum Novice\0	a,Lvl: 17\0	9C	E8	A9	-1
264	a,Dark Succubus\0	a,Lvl: 20\0	9C	E8	A9	-1
265	a,Monster Eye Searcher\0	a,Lvl: 22 [x2]\0	9C	E8	A9	-1
266	a,Monster Eye Gazer\0	a,Lvl: 25\0	9C	E8	A9	-1
267	a,Breka Orc\0	a,Lvl: 31\0	9C	E8	A9	-1
268	a,Breka Orc Archer\0	a,Lvl: 32 >>---->\0	9C	E8	A9	-1
269	a,Breka Orc Shaman\0	a,Lvl: 34\0	9C	E8	A9	-1
270	a,Breka Orc Overlord\0	a,Lvl: 35*\0	79	79	FF	-1
271	a,Breka Orc Warrior\0	a,Lvl: 33*\0	79	79	FF	-1
272	a,Cave Servant B\0	a,Lvl: 46\0	9C	E8	A9	-1
273	a,Cave Servant Archer B\0	a,Lvl: 47 >>---->\0	9C	E8	A9	-1
274	a,Cave Servant Warrior B\0	a,Lvl: 48\0	9C	E8	A9	-1
275	a,Cave Servant Captain B\0	a,Lvl: 49*\0	79	79	FF	-1
276	a,Royal Cave Servant B\0	a,Lvl: 51\0	9C	E8	A9	-1
277	a,Cave Keeper B\0	a,Lvl: 58\0	9C	E8	A9	-1
278	a,Bloody Queen\0	a,Lvl: 60\0	9C	E8	A9	-1
279	a,Shackle B\0	a,Lvl: 45*\0	79	79	FF	-1
280	a,Headless Knight B\0	a,Lvl: 50*\0	79	79	FF	-1
281	a,Dustwind Gargoyle B\0	a,Lvl: 53\0	9C	E8	A9	-1
282	a,Thunder Wyrm B\0	a,Lvl: 54*\0	79	79	FF	-1
283	a,Malruk Succubus B\0	a,Lvl: 55\0	9C	E8	A9	-1
284	a,Malruk Succubus Turen B\0	a,Lvl: 56\0	9C	E8	A9	-1
285	a,Drake B\0	a,Lvl: 57*\0	79	79	FF	-1
286	a,Hunter Gargoyle B\0	a,Lvl: 52\0	9C	E8	A9	-1
287	a,Cave Maiden B\0	a,Lvl: 59*\0	79	79	FF	-1
288	a,Cat's Eye Bandit\0	a,Lvl: 15\0	9C	E8	A9	-1
289	a,Ol Mahum Novice\0	a,Lvl: 17\0	9C	E8	A9	-1
290	a,Dark Succubus\0	a,Lvl: 20\0	9C	E8	A9	-1
291	a,Enku Orc Champion\0	a,Lvl: 21*\0	79	79	FF	-1
292	a,Enku Orc Shaman\0	a,Lvl: 20\0	9C	E8	A9	-1
293	a,Virud Lizardman\0	a,Lvl: 20\0	9C	E8	A9	-1
294	a,Virud Lizardman Matriarch\0	a,Lvl: 24*\0	79	79	FF	-1
295	a,Virud Lizardman Warrior\0	a,Lvl: 22*\0	79	79	FF	-1
296	a,Virud Lizardman Scout\0	a,Lvl: 21 >>---->\0	9C	E8	A9	-1
297	a,Virud Lizardman Shaman \0	a,Lvl: 23\0	9C	E8	A9	-1
298	a,Virud Lizardman Shaman \0	a,Lvl: 23\0	9C	E8	A9	-1
299	a,Zenta Lizardman\0	a,Lvl: 40\0	9C	E8	A9	-1
300	a,Zenta Lizardman Matriarch\0	a,Lvl: 44*\0	79	79	FF	-1
301	a,Zenta Lizardman Scout\0	a,Lvl: 41 >>---->\0	9C	E8	A9	-1
302	a,Zenta Lizardman Warrior\0	a,Lvl: 42*\0	79	79	FF	-1
303	a,Zenta Lizardman Shaman\0	a,Lvl: 43\0	9C	E8	A9	-1
304	a,Marsh Stakato Queen\0	a,Lvl: 36*\0	79	79	FF	-1
305	a,Grave\0	a,Lvl: 40*\0	79	79	FF	-1
306	a,Out of Use\0	a,Lvl: 40 [x4]\0	9C	E8	A9	-1
307	a,Garum Werewolf\0	a,Lvl: 9\0	9C	E8	A9	-1
308	a,Hook Spider\0	a,Lvl: 16\0	9C	E8	A9	-1
309	a,Brown Fox\0	a,Lvl: 2\0	9C	E8	A9	-1
310	a,Brown Bear\0	a,Lvl: 16*\0	79	79	FF	-1
311	a,Rakeclaw Imp\0	a,Lvl: 6\0	9C	E8	A9	-1
312	a,Rakeclaw Imp Hunter\0	a,Lvl: 7\0	9C	E8	A9	-1
313	a,Rakeclaw Imp Chieftain\0	a,Lvl: 10*\0	79	79	FF	-1
314	a,Great White Shark\0	a,Lvl: 42*\0	79	79	FF	-1
315	a,Out of Use\0	a,Lvl: 35 [x4]\0	9C	E8	A9	-1
316	a,Darkwing Bat\0	a,Lvl: 11\0	9C	E8	A9	-1
317	a,Black Wolf\0	a,Lvl: 4\0	9C	E8	A9	-1
318	a,Black Timber Wolf\0	a,Lvl: 6\0	9C	E8	A9	-1
319	a,Goblin Grave Robber\0	a,Lvl: 5\0	9C	E8	A9	-1
320	a,Goblin Tomb Raider Leader\0	a,Lvl: 12\0	9C	E8	A9	-1
321	a,Goblin Thief\0	a,Lvl: 10\0	9C	E8	A9	-1
322	a,Goblin Brigand\0	a,Lvl: 8\0	9C	E8	A9	-1
323	a,Goblin Brigand Leader\0	a,Lvl: 14*\0	79	79	FF	-1
324	a,Goblin Brigand Lieutenant\0	a,Lvl: 10*\0	79	79	FF	-1
325	a,Goblin Raider\0	a,Lvl: 5\0	9C	E8	A9	-1
326	a,Goblin Scout\0	a,Lvl: 8\0	9C	E8	A9	-1
327	a,Goblin Snooper\0	a,Lvl: 5\0	9C	E8	A9	-1
328	a,Goblin Lookout\0	a,Lvl: 8\0	9C	E8	A9	-1
329	a,Ghost Guardian\0	a,Lvl: 21*\0	79	79	FF	-1
330	a,Mineshaft Bat\0	a,Lvl: 11\0	9C	E8	A9	-1
331	a,Monster Eye Tracker\0	a,Lvl: 10\0	9C	E8	A9	-1
332	a,Out of Use\0	a,Lvl: 29 [x4]\0	9C	E8	A9	-1
333	a,Greystone Golem\0	a,Lvl: 13\0	9C	E8	A9	-1
334	a,Gremlin Scavenger\0	a,Lvl: 1\0	9C	E8	A9	-1
335	a,Grizzly Bear\0	a,Lvl: 17\0	9C	E8	A9	-1
336	a,Green Dryad\0	a,Lvl: 8\0	9C	E8	A9	-1
337	a,Longtail Fox\0	a,Lvl: 2\0	9C	E8	A9	-1
338	a,Nightmare Weaver\0	a,Lvl: 21*\0	79	79	FF	-1
339	a,Out of Use\0	a,Lvl: 22 [x1/2]\0	9C	E8	A9	-1
340	a,Slave Skeleton\0	a,Lvl: 12*\0	79	79	FF	-1
341	a,Undead Slave\0	a,Lvl: 19\0	9C	E8	A9	-1
342	a,Werewolf Chieftain\0	a,Lvl: 12*\0	79	79	FF	-1
343	a,Werewolf Hunter\0	a,Lvl: 10*\0	79	79	FF	-1
344	a,Out of Use\0	a,Lvl: 25 [x3]\0	9C	E8	A9	-1
345	a,Dark Terror\0	a,Lvl: 16*\0	79	79	FF	-1
346	a,Darkstone Golem\0	a,Lvl: 13\0	9C	E8	A9	-1
347	a,Death Wraith\0	a,Lvl: 55*\0	79	79	FF	-1
348	a,Cave Spider\0	a,Lvl: 15\0	9C	E8	A9	-1
349	a,Cave Bat\0	a,Lvl: 13\0	9C	E8	A9	-1
350	a,Cave Fang Spider\0	a,Lvl: 16*\0	79	79	FF	-1
351	a,Dre Vanul Tracker\0	a,Lvl: 20*\0	79	79	FF	-1
352	a,Dre Vanul Slayer\0	a,Lvl: 22*\0	79	79	FF	-1
353	a,Dre Vanul Beholder\0	a,Lvl: 21*\0	79	79	FF	-1
354	a,Dwarf Ghost\0	a,Lvl: 20*\0	79	79	FF	-1
355	a,Out of Use\0	a,Lvl: 15 [x1/2]\0	9C	E8	A9	-1
356	a,Langk Lizardman Leader\0	a,Lvl: 25*\0	79	79	FF	-1
