id	UNK_0	message	group	rgb[0]	rgb[1]	rgb[2]	UNK_1	item_sound	sys_msg_ref
77	1	u,Вы не можете создать нового персонажа. Удалите любого старого персонажа и попробуйте снова.\0	0	79	9B	B0	-1	a,ItemSound3.sys_character_failed\0	a,
78	1	u,Вы действительно хотите удалить $s1?\0	4	79	9B	B0	-1	a,	a,
79	1	u,Такое имя уже существует.\0	0	79	9B	B0	-1	a,ItemSound3.sys_character_failed\0	a,
80	1	u,Имя должно содержать от 1 до 16 символов.\0	0	79	9B	B0	-1	a,ItemSound3.sys_character_failed\0	a,
81	1	u,Выберите расу героя.\0	0	79	9B	B0	-1	a,ItemSound3.sys_character_failed\0	a,
82	1	u,Выберите стихию героя.\0	0	79	9B	B0	-1	a,ItemSound3.sys_character_failed\0	a,
83	1	u,Выберите пол героя.\0	0	79	9B	B0	-1	a,ItemSound3.sys_character_failed\0	a,
84	1	u,Вы не можете атаковать в мирной зоне.\0	0	79	9B	B0	-1	a,	a,
85	1	u,Вы не можете атаковать цель в мирной зоне.\0	0	79	9B	B0	-1	a,	a,
86	1	u,Введите ваше имя.\0	0	79	9B	B0	-1	a,	a,
87	1	u,Введите ваш пароль.\0	0	79	9B	B0	-1	a,	a,
88	1	u,Версия протокола не поддерживается сервером.\0	0	79	9B	B0	-1	a,	a,
89	1	u,Версия протокола не поддерживается сервером.\0	0	79	9B	B0	-1	a,	a,
90	1	u,Невозможно соединиться с сервером.\0	0	79	9B	B0	-1	a,	a,
91	1	u,Выберите прическу героя.\0	0	79	9B	B0	-1	a,	a,
92	1	u,Эффект $s1 спал.\0	0	93	B1	1A	-1	a,	a,
93	1	u,Недостаточно SP.\0	0	79	9B	B0	-1	a,ItemSound3.sys_shortage\0	a,
94	1	u,Клиент игры настроен на подключение к серверу Draconic.Ru. Все права на игру Lineage2 и сопутствующую атрибутику принадлежат компании NCsoft, Корея. Данный ресурс является не официальным и не предусматривает никаких коммерческих целей и услуг. Ресурс предназначен только для ознакомительных целей и предоставляет пользователям не актуальную версию игры.\0	0	93	B1	1A	-1	a,	a,
95	1	u,Вы получили $s1 опыта и $s2 SP.\0	0	0	FF	FF	-1	a,	a,
96	1	u,Поздравляем! Вы получили новый уровень.\0	0	79	9B	B0	-1	a,	a,
97	1	u,Выбранная вещь не может быть перемещена.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
98	1	u,Выбранная вещь не может быть удалена.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
99	1	u,Выбранная вещь не может быть продана.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
100	1	u,$s1 запрашивает торговлю с вами. Продолжить?\0	4	79	9B	B0	-1	a,	a,
101	1	u,Вы не можете выйти из игры во время боя.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
102	1	u,Вы не можете выйти из игры во время боя.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
103	1	u,ID вошел в игру.\0	0	79	9B	B0	-1	a,	a,
104	1	u,Вы не можете использовать вещи, пока используете магию или умения. \0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
105	1	u,Вы пригласили $s1 в вашу группу.\0	0	79	9B	B0	-1	a,ItemSound3.sys_party_join\0	a,
106	1	u,Вы вошли в группу $s1.\0	0	79	9B	B0	-1	a,ItemSound3.sys_party_join\0	a,
107	1	u,$s1 вошел(а) в группу.\0	0	79	9B	B0	-1	a,ItemSound3.sys_party_join\0	a,
108	1	u,$s1 покинул(а) группу.\0	0	79	9B	B0	-1	a,ItemSound3.sys_party_leave\0	a,
109	1	u,Неправильная цель.\0	0	79	9B	B0	-1	a,	a,
110	1	u,На вас наложено заклинание: $s1.\0	0	93	B1	1A	-1	a,	a,
111	1	u,Щит успешно заблокировал атаку.\0	1	79	9B	B0	-1	a,	a,
112	1	u,Не хватает стрел.\0	0	1C	1D	C0	-1	a,ItemSound3.sys_shortage\0	a,
113	1	u,$s1 не может быть использовано в данных условиях.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
114	1	u,Вы входите в тень the World Tree.\0	0	79	9B	B0	-1	a,	a,
115	1	u,Вы выходите из тени the World Tree.\0	0	79	9B	B0	-1	a,	a,
116	1	u,Вы входите в безопасную зону.\0	0	79	9B	B0	-1	a,	a,
117	1	u,Вы покидаете безопасную зону.\0	0	79	9B	B0	-1	a,	a,
118	1	u,Запрос на торговлю с $s1.\0	0	0	FF	FF	-1	a,	a,
119	1	u,$s1 отказал вам в торговле.\0	0	79	9B	B0	-1	a,ItemSound3.sys_denial\0	a,
120	1	u,Начало торговли с $s1.\0	0	0	FF	FF	-1	a,	a,
121	1	u,$s1 подтвердил(а) сделку.\0	0	0	FF	FF	-1	a,	a,
122	1	u,Вы не можете перемещать дополнительные вещи, т.к. сделка уже подтверждена.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
123	1	u,Сделка успешно завершена.\0	0	0	FF	FF	-1	a,ItemSound3.sys_exchange_success\0	a,
124	1	u,$s1 отменил(а) сделку.\0	0	79	9B	B0	-1	a,	a,
125	1	u,Выход из игры. Продолжить?\0	4	79	9B	B0	-1	a,	a,
126	1	u,Перезайти. Продолжить?\0	4	79	9B	B0	-1	a,	a,
127	1	u,Вы были отсоединены от сервера. Попробуйте зайти снова.\0	4	79	9B	B0	-1	a,	a,
128	1	u,Невозможно создать такого героя.\0	0	79	9B	B0	-1	a,ItemSound3.sys_character_failed\0	a,
129	1	u,Ваш инвентарь полность заполнен!\0	0	79	9B	B0	-1	a,ItemSound3.sys_shortage\0	a,
130	1	u,Ваш депозит полностью заполнен!\0	4	79	9B	B0	-1	a,ItemSound3.sys_shortage\0	a,
131	1	u,$s1 вошел(а) в игру. \0	0	79	9B	B0	-1	a,ItemSound3.sys_friend_login\0	a,
132	1	u,$s1 успешно добавлен(а) в ваш список друзей.\0	0	79	9B	B0	-1	a,	a,
133	1	u,$s1 успешно удален(а) из вашего списка друзей.\0	0	79	9B	B0	-1	a,	a,
134	1	u,Проверьте ваш список друзей.\0	0	79	9B	B0	-1	a,	a,
135	1	u,$s1 не ответил(а) на ваше приглашение. Приглашение в группу отменено.\0	0	79	9B	B0	-1	a,ItemSound3.sys_denial\0	a,
136	1	u,Вы не ответили на приглашение $s1. Приглашение в группу отменено.\0	0	79	9B	B0	-1	a,ItemSound3.sys_denial\0	a,
137	1	u,Больше нет вещей в панели быстрого запуска.\0	0	79	9B	B0	-1	a,	a,
138	1	u,Неправильный ярлык.\0	0	79	9B	B0	-1	a,	a,
139	1	u,$s1 успешно защитился(ась) от магии $s2.\0	0	1C	1D	C0	-1	a,	a,
140	1	u,Умение прекратило действие, нехватка MP.\0	0	79	9B	B0	-1	a,ItemSound3.sys_shortage\0	a,
141	1	u,Когда сделка подтверждена вещи не могут быть снова перемещены.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
142	1	u,Уже торгует.\0	0	79	9B	B0	-1	a,	a,
143	1	u,$s1 уже торгует с другим персонажем.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
144	1	u,Неправильная цель.\0	0	79	9B	B0	-1	a,	a,
145	1	u,Персонаж не найден в игре.\0	0	79	9B	B0	-1	a,ItemSound3.sys_shortage\0	a,
146	1	u,Чат включен. Срок наказания истек.\0	4	79	9B	B0	-1	a,ItemSound3.sys_chat_permission\0	a,SystemMsg_k.146\0
147	1	u,GM отключил вам чат за нарушение игровых правил.\0	4	1C	1D	C0	-1	a,ItemSound3.sys_chat_prohibition\0	a,SystemMsg_k.147\0
148	1	u,Вы не можете использовать квестовые вещи.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
149	1	u,Вы не можете использовать вещи, пока совершается сделка.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
150	1	u,Вы не можете удалять или выбрасывать вещи, пока совершается сделка.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
151	1	u,Слишком далеко, чтобы выбросить предмет.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
152	1	u,Неправильная цель, приглашение отвергнуто.\0	0	79	9B	B0	-1	a,	a,
153	1	u,$s1 занят(а). Попробуйте позже.\0	0	79	9B	B0	-1	a,	a,
154	1	u,Только лидер может приглашать персонажей.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
155	1	u,Группа полностью заполнена.\0	0	79	9B	B0	-1	a,ItemSound3.sys_shortage\0	a,
156	1	u,Сила вампиризма использована лишь на половину.\0	0	79	9B	B0	-1	a,	a,
157	1	u,Вы успешно защитились от атаки вампиризмом $s1.\0	0	79	9B	B0	-1	a,	a,
158	1	u,Атака провалилась.\0	0	1C	1D	C0	-1	a,	a,
159	1	u,Успешное сопротивление магии $s1.\0	0	79	9B	B0	-1	a,	a,
160	1	u,$s1 член другой группы и не может быть приглашен.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
161	1	u,Приглашенный вами пользователь не найден.\0	0	79	9B	B0	-1	a,ItemSound3.sys_shortage\0	a,
162	1	u,Склад слишком далеко.\0	0	79	9B	B0	-1	a,	a,
163	1	u,Нельзя удалить вещь, потому что указанное количество неверно.\0	0	79	9B	B0	-1	a,	a,
164	1	u,Ждем ответа на приглашение.\0	0	79	9B	B0	-1	a,	a,
165	1	u,Нельзя добавить самого себя в свой же список друзей.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
166	1	u,Список друзей не готов. Попробуйте позже.\0	0	79	9B	B0	-1	a,	a,
167	1	u,$s1 уже есть в вашем списке друзей.\0	0	79	9B	B0	-1	a,ItemSound3.sys_failed\0	a,
168	1	u,$s1 пригласил(а) вас в друзья.\0	0	79	9B	B0	-1	a,ItemSound3.sys_friend_invite\0	a,
169	1	u,Подтвердить дружбу?\0	0	79	9B	B0	-1	a,	a,
170	1	u,Персонаж, который запросил с вами дружбу не найден в игре.\0	0	79	9B	B0	-1	a,ItemSound3.sys_shortage\0	a,
171	1	u,$s1 не найден(а) в списке друзей.\0	0	79	9B	B0	-1	a,ItemSound3.sys_failed\0	a,
172	1	u,У вас недостаточно денег чтобы заплатить.\0	4	79	9B	B0	-1	a,ItemSound3.sys_shortage\0	a,
173	1	u,У вас недостаточно денег чтобы заплатить.\0	4	79	9B	B0	-1	a,ItemSound3.sys_shortage\0	a,
174	1	u,Инвентарь персонажа полностью заполнен.\0	4	79	9B	B0	-1	a,ItemSound3.sys_shortage\0	a,
175	1	u,HP полностью восстановлены, умение умение прекратило свое действие.\0	0	79	9B	B0	-1	a,	a,
176	1	u,GM заблокировал приватный чат. Возможно он занят либо временно недоступен. Попробуйте написать ему позже.\0	0	79	9B	B0	-1	a,ItemSound3.sys_denial\0	a,
177	1	u,Приватный чат: отключен.\0	0	1C	1D	C0	-1	a,	a,
178	1	u,Приватный чат: включен.\0	0	1C	C0	24	-1	a,	a,
179	1	u,Вы не можете здесь оставить вещи.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
180	1	u,У этого персонажа осталось $s1 дня(ей) до удаления. Вы действительно хотите отменить удаление?\0	4	79	9B	B0	-1	a,	a,
181	1	u,Не могу увидеть цель.\0	0	79	9B	B0	-1	a,	a,
182	1	u,Хотите выйти из текущего квеста?\0	0	79	9B	B0	-1	a,	a,
183	1	u,На сервере достигнуто ограничение пользователей. Попробуйте зайти позже.\0	2	79	9B	B0	-1	a,	a,
184	1	u,Попробуйте позже.\0	0	79	9B	B0	-1	a,	a,
185	1	u,Выберите персонажа, которого хотите пригласить в группу.\0	0	79	9B	B0	-1	a,	a,
186	1	u,Выберите персонажа, которого хотите пригласить в клан.\0	0	79	9B	B0	-1	a,	a,
187	1	u,Выберите персонажа, которого хотите выгнать.\0	0	79	9B	B0	-1	a,	a,
188	1	u,Ввести имя клана.\0	4	79	9B	B0	-1	a,	a,
189	1	u,Поздравляем! Ваш клан успешно создан!\0	0	79	9B	B0	-1	a,ItemSound3.sys_pledge_join\0	a,
190	1	u,У вас не получилось создать клан.\0	0	79	9B	B0	-1	a,ItemSound3.sys_failed\0	a,
191	1	u,Член клана $s1 был успешно изгнан.\0	0	79	9B	B0	-1	a,	a,
192	1	u,У вас не получилось выгнать $s1 из клана.\0	0	79	9B	B0	-1	a,ItemSound3.sys_failed\0	a,
193	1	u,Клан распался.\0	0	79	9B	B0	-1	a,	a,
194	1	u,У вас не получилось расформировать клан.\0	0	79	9B	B0	-1	a,ItemSound3.sys_failed\0	a,
195	1	u,Вы зарегистрированы в клане.\0	0	79	9B	B0	-1	a,ItemSound3.sys_pledge_join\0	a,
196	1	u,$s1 отменил(а) приглашение в клан.\0	0	79	9B	B0	-1	a,ItemSound3.sys_denial\0	a,
197	1	u,Вы покидаете клан.\0	0	79	9B	B0	-1	a,	a,
198	1	u,У вас не получилось покинуть $s1 клан.\0	0	79	9B	B0	-1	a,ItemSound3.sys_failed\0	a,
199	1	u,Вы изгнаны из клана. Теперь вы не можете входить в любые другие кланы в течении 5 дней.\0	0	79	9B	B0	-1	a,	a,
200	1	u,Вы вышли из группы.\0	0	79	9B	B0	-1	a,ItemSound3.sys_party_leave\0	a,
201	1	u,$s1 выгнан(а) из группы.\0	0	79	9B	B0	-1	a,ItemSound3.sys_party_leave\0	a,
202	1	u,Вы были выгнаны из группы.\0	0	79	9B	B0	-1	a,ItemSound3.sys_party_leave\0	a,
203	1	u,Группа распалась.\0	0	79	9B	B0	-1	a,ItemSound3.sys_party_leave\0	a,
204	1	u,Неправильное имя. Попробуйте снова.\0	0	79	9B	B0	-1	a,	a,
205	1	u,Неправильное имя персонажа. Обратитесь пожалуйста к GM.\0	0	79	9B	B0	-1	a,	a,
206	1	u,Такого клана не существует. Объявление войны отклонено.\0	4	79	9B	B0	-1	a,	a,
207	1	u,$s2 лидер $s1 клана объявляет вам войну! Вы подтверждаете войну?\0	4	79	9B	B0	-1	a,	a,
208	1	u,Введите полный путь до файла.\0	4	79	9B	B0	-1	a,	a,
209	1	u,Неправильный формат изображения, должен быть 16х12.\0	0	79	9B	B0	-1	a,	a,
210	1	u,Фаил не найден. Проверьте путь к файлу.\0	0	79	9B	B0	-1	a,	a,
211	1	u,Неправильный формат изображения. Только 16х12 при 256 цветах.\0	0	79	9B	B0	-1	a,	a,
212	1	u,Вы не являетесь членом клана.\0	0	79	9B	B0	-1	a,	a,
213	1	u,Не работает. Попробуйте позднее.\0	0	79	9B	B0	-1	a,	a,
214	1	u,Титул был успешно изменен.\0	0	79	9B	B0	-1	a,	a,
215	1	u,Война с кланом $s1 началась!\0	0	79	9B	B0	-1	a,	a,SystemMsg_k.215\0
216	1	u,Война с кланом $s1 закончена.\0	0	79	9B	B0	-1	a,	a,SystemMsg_k.216\0
217	1	u,Поздравляем! Вы выиграли войну с кланом $s1!\0	0	79	9B	B0	-1	a,	a,SystemMsg_k.217\0
218	1	u,Вы проиграли войну клану $s1.\0	0	79	9B	B0	-1	a,	a,SystemMsg_k.218\0
219	1	u,Ваш лидер клана умер. Вы проиграли войну клану $s1.\0	0	79	9B	B0	-1	a,	a,SystemMsg_k.219\0
220	1	u,У вас осталась $s1 минут(ы), до того как клановая война закончиться.\0	0	79	9B	B0	-1	a,	a,
221	1	u,Время, отведенное на войну, кланов исчерпано. Война с кланом $s1 закончена.\0	0	79	9B	B0	-1	a,	a,SystemMsg_k.221\0
222	1	u,$s1 вступил в клан.\0	0	79	9B	B0	-1	a,ItemSound3.sys_pledge_join\0	a,
223	1	u,$s1 был(а) исключен(а) из клана.\0	0	79	9B	B0	-1	a,ItemSound3.sys_party_leave\0	a,
224	1	u,$s1 не ответил(а) на предложение. Приглашение в клан отменено.\0	0	79	9B	B0	-1	a,ItemSound3.sys_denial\0	a,
225	1	u,Вы не ответили на приглашение $s1. Приглашение отменено.\0	0	79	9B	B0	-1	a,ItemSound3.sys_denial\0	a,
226	1	u,Клан $s1 не ответил на объявление войны. Объявление войны отменено.\0	0	79	9B	B0	-1	a,ItemSound3.sys_denial\0	a,
227	1	u,Объявление войны отменено. Клан $s1 не ответил на объявление войны.\0	0	79	9B	B0	-1	a,ItemSound3.sys_denial\0	a,
228	1	u,Запрос на окончание войны отвергнут. \0	0	79	9B	B0	-1	a,ItemSound3.sys_denial\0	a,
229	1	u,у вас не хватает опыта, чтобы создать клан.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
230	1	u,Вы не можете создать новый клан в течение 10 дней после роспуска.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
231	1	u,Игрок не может вступить в ваш клан в течение 5 дней после выхода из другого клана.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
232	1	u,Вы не можете вступить в новый клан в течение 5 дней после изгнания или выхода.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
233	1	u,Клан полон и не может принять новых членов.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
234	1	u,Целью должен быть член клана.\0	0	79	9B	B0	-1	a,	a,
235	1	u,Вы не можете передать ваши права.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
236	1	u,Только клан лидер может сделать это.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
237	1	u,Не может найти лидера клана.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
238	1	u,Не вступившим в любой клан.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
239	1	u,Лидер клана не может выйти.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
240	1	u,В настоящее время уже вовлечен в клановую войну.\0	0	79	9B	B0	-1	a,	a,
241	1	u,Лидер $s1 Клан не зарегистрирован в.\0	0	79	9B	B0	-1	a,	a,
242	1	u,Выберите цель.\0	0	79	9B	B0	-1	a,	a,
243	1	u,Нельзя объявить войну союзническим кланам.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
244	1	u,Не способны принять объявленную клановую войну.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
245	1	u,5 дней не прошли, с тех пор как вы отказывали в войне. Вы хотите продолжить?\0	4	79	9B	B0	-1	a,	a,
246	1	u,Другой клан в настоящее время в состоянии войны.\0	0	79	9B	B0	-1	a,	a,
247	1	u,Вы уже в состоянии войны с $s1 клан: 5 дней должны пройти прежде, чем Вы можете объявить войну снова.\0	0	79	9B	B0	-1	a,	a,
248	1	u,Вы не можете объявить войну: $s1 клану ,он не имеет достаточно членов.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
249	1	u,Вы желаете сдаться $s1 клану?\0	4	79	9B	B0	-1	a,	a,
250	1	u,Вы лично сдались $s1 клану. Вы прекращаете клановую войну.\0	0	79	9B	B0	-1	a,	a,
251	1	u,Вы не можете объявить войну: Вы , в состоянии войны с другим кланом.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
252	1	u,Введите название клана, чтобы сдаться.\0	4	79	9B	B0	-1	a,	a,
253	1	u,Введите название клана, чтобы запросить прекращение войны.\0	4	79	9B	B0	-1	a,	a,
254	1	u,Лидер клана не может сдаться лично.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
255	1	u,$s1 Клан просил закончить войну. Вы соглашаетесь?\0	4	79	9B	B0	-1	a,	a,
256	1	u,Введите имя.\0	0	79	9B	B0	-1	a,	a,
257	1	u,Вы предлагаете $s1 клану, закончить войну?\0	4	79	9B	B0	-1	a,	a,
258	1	u,Не вовлечен в клановую войну.\0	0	79	9B	B0	-1	a,	a,
259	1	u,Выберите члена клана из списка.\0	0	79	9B	B0	-1	a,	a,
260	1	u,Уровень популярности понизился: не прошло 5 дней с тех пор, как вам отказали в войне.\0	0	79	9B	B0	-1	a,	a,
261	1	u,Название клана неправильное.\0	0	79	9B	B0	-1	a,	a,
262	1	u,Длина названия клана неправильная.\0	0	79	9B	B0	-1	a,ItemSound3.sys_failed\0	a,
263	1	u,Вы уже запросили исключение из клана.\0	0	79	9B	B0	-1	a,	a,
